id,title,timePeriods,size,score,type
383781,Sirmio,RLM,3,1,circle
383783,Statielli,HR,3,1,circle
383790,Tanarus (river),RLM,4,1,circle
383791,Tannetum,RL,2,1,circle
383793,Tarus (river),RLM,3,1,circle
383798,Ticinum,RLM,2,1,circle
383799,Ticinus (river),HRLM,2,1,circle
383801,Transpadana,HRL,2,1,circle
383802,Trebia (river),HRLM,2,1,circle
383804,Trident(i)um,HRL,3,1,circle
383808,Vada Sabatia,RL,2,1,circle
383811,Veleia,HRRL,2,1,circle
383814,Verbanus L.,RLM,2,1,circle
383815,Vercellae,CHRLM,3,1,circle
383816,Verona,RL,6,1,circle
383820,Victoriolae,L,2,1,circle
383821,Victumulae,HRL,2,1,circle
383824,Vitricium,RL,3,1,circle
384297,Unnamed Roman aqueduct at Eporedia,RL,2,1,circle
384299,Unnamed aqueduct at Augusta Bagiennorum,RL,2,1,circle
384301,Unnamed aqueduct at Alba Pompeia,RL,2,1,circle
384304,Untitled,RL,2,1,circle
385053,Unnamed bridge at Lévérogne,RLM,2,1,circle
385055,Untitled,RL,2,1,circle
385056,Pont-Saint-Martin (bridge),RL,2,1,circle
385057,Unnamed bridge at Bard,RLM,3,1,circle
385058,Unnamed bridge,RL,2,1,circle
385061,Roman bridge at Clastidium,RL,2,1,circle
385065,Unnamed bridge,RL,2,1,circle
385067,Unnamed bridge,RL,2,1,circle
385807,Untitled,RL,2,1,circle
385808,Untitled,RL,2,1,circle
385809,Untitled,RL,2,1,circle
385810,Untitled,RL,2,1,circle
385811,Untitled,RL,2,1,circle
385812,Untitled,RL,2,1,circle
385813,Untitled,RL,2,1,circle
385814,Untitled,RL,2,1,circle
385815,Untitled,RL,2,1,circle
385816,Untitled,RL,2,1,circle
385817,Untitled,RL,2,1,circle
385819,Untitled,RL,2,1,circle
385820,Untitled,RL,2,1,circle
385821,Untitled,RL,2,1,circle
385822,Untitled,RL,2,1,circle
385825,Untitled,RL,2,1,circle
385838,Untitled,RL,2,1,circle
385842,Untitled,RL,2,1,circle
387319,Carystum,H,2,1,circle
39271,Adouli,R,2,1,circle
39272,Adoulitikos Kolpos,RM,3,1,circle
39274,Aethiopia,YUNK,2,1,circle
39281,Alalaiou (islands),RM,2,1,circle
39290,Arabicus Sinus/Erythr(ae)um/Rubrum Mare,RM,23,1,circle
39298,Astapous (river),RM,3,1,circle
