source,target,type
373778,312715518,type1
373778,372376094,type1
373778,248782117,type1
373778,373732,type1
373778,103565779,type1
373778,464482220,type1
373778,163905085,type1
373778,534059885,type1
373778,778145952,type1
373778,778145953,type1
373778,357884165,type1
373778,354239693,type1
373780,716589,type1
373861,364021,type1
373868,716595,type1
373870,716595,type1
373874,373875,type1
373875,373874,type1
373879,375997,type1
373879,885142066,type1
375997,373879,type1
375997,373757,type1
376001,373778,type1
383543,393469,type1
383544,788760849,type1
383547,66908841,type1
383556,383793,type1
383556,66908841,type1
383562,393469,type1
383564,383790,type1
383564,384301,type1
383568,393469,type1
383570,383708,type1
383574,383783,type1
383578,383698,type1
383578,383790,type1
383578,427981474,type1
383578,384299,type1
383579,136661131,type1
383579,437204184,type1
383579,179717289,type1
383579,310024671,type1
383579,179717291,type1
383580,393469,type1
383580,385812,type1
383580,866917580,type1
383580,385808,type1
383580,385811,type1
383584,788760849,type1
383587,383781,type1
383589,966985945,type1
383590,383635,type1
383590,385056,type1
383602,393469,type1
383603,417977726,type1
383603,740044370,type1
383603,444468888,type1
383609,502042016,type1
383609,507729266,type1
383618,788760849,type1
383618,385061,type1
383620,393469,type1
383624,383689,type1
383626,788760849,type1
383628,393469,type1
383628,788760849,type1
383633,788760849,type1
383633,507729266,type1
383633,502042016,type1
383633,384304,type1
383633,385822,type1
383635,393469,type1
383635,385053,type1
383635,385057,type1
383635,383590,type1
383636,393469,type1
383642,385810,type1
383642,384297,type1
383645,383686,type1
383648,136661131,type1
383648,66908841,type1
383649,66908841,type1
383661,393469,type1
383664,502042016,type1
383664,788760849,type1
383668,393469,type1
383670,502042016,type1
383676,383791,type1
383676,385067,type1
383678,383706,type1
383680,788760849,type1
383680,383682,type1
383680,385819,type1
383681,393469,type1
383681,385058,type1
383682,393469,type1
383682,383680,type1
383686,383645,type1
383686,393469,type1
383686,383722,type1
383689,383624,type1
383691,385825,type1
383694,788760849,type1
383698,403235,type1
383698,403177,type1
383698,383578,type1
383698,362185575,type1
383704,788760849,type1
383704,383708,type1
383704,385838,type1
383706,383801,type1
383706,383678,type1
383706,585690562,type1
383706,537979353,type1
383706,585690561,type1
383708,393469,type1
383708,383570,type1
383708,383704,type1
383715,66908841,type1
383715,385842,type1
383715,393390,type1
383715,396382,type1
383717,385821,type1
383717,905076845,type1
383717,767629308,type1
383718,393469,type1
383718,385065,type1
383721,393469,type1
383722,383686,type1
383723,393469,type1
383729,757150811,type1
383737,66908841,type1
383737,196750886,type1
383738,393469,type1
383740,385813,type1
383741,502042016,type1
383741,788760849,type1
383741,507729266,type1
383741,66908841,type1
383741,196750886,type1
383745,423813718,type1
383749,157878,type1
383755,66908841,type1
383755,196750886,type1
383758,502042016,type1
383763,413114,type1
383777,393469,type1
383781,383587,type1
383781,870993210,type1
383783,383574,type1
383783,387319,type1
383790,393469,type1
383790,383578,type1
383790,383564,type1
383791,383676,type1
383793,393469,type1
383793,383556,type1
383798,66908841,type1
383799,383814,type1
383801,383706,type1
383802,393469,type1
383804,393383,type1
383804,688514720,type1
383808,507729266,type1
383811,157983949,type1
383814,383799,type1
383815,383821,type1
383815,385817,type1
383816,788760849,type1
383816,393383,type1
383816,391761931,type1
383816,333004588,type1
383816,771445424,type1
383820,66908841,type1
383821,383815,type1
383824,385057,type1
383824,385055,type1
384297,383642,type1
384299,383578,type1
384301,383564,type2
384304,383633,type2
385053,383635,type2
385055,383824,type2
385056,383590,type2
385057,383824,type2
385057,383635,type2
385058,383681,type2
385061,383618,type2
385065,383718,type2
385067,383676,type2
385807,383653,type2
385808,383580,type2
385809,383611,type2
385810,383642,type2
385811,383580,type2
385812,383580,type2
385813,383740,type2
385814,383745,type2
385815,383745,type2
385816,383740,type2
385817,383815,type2
385819,383680,type2
385820,383651,type1
385821,383717,type1
385822,383633,type1
385825,383691,type1
385838,383704,type1
385842,383715,type1
387319,383783,type1
39271,39290,type1
39272,39290,type1
39272,39404,type1
39274,39303,type1
39281,39290,type1
39290,39352,type1
39290,39271,type1
39290,39272,type1
39290,39281,type1
39290,290587550,type1
39290,40043,type1
39290,39305,type1
39290,594456491,type1
39290,786060,type1
39290,39318,type1
39290,39330,type1
39290,786069,type1
39290,727101,type1
39290,39337,type1
39290,39376,type1
39290,39345,type1
39290,39409,type1
39290,746700,type1
39290,746701,type1
39290,746744,type1
39290,746813,type1
39290,785972,type1
39298,727172,type1
39298,416452801,type1
39303,39274,type1
39305,39290,type1
39305,39352,type1
39308,39352,type1
39308,84624811,type1
39308,39315,type1
39308,39410,type1
39315,39308,type1
39315,39352,type1
39318,39290,type1
39330,39290,type1
39335,479353527,type1
393362,66908841,type1
393368,393484,type1
393368,910399260,type1
39337,39290,type1
39337,649361735,type1
393370,66908841,type1
393371,66908841,type1
393372,910399260,type1
393374,932949218,type1
393378,1004,type1
393379,856514595,type1
393379,910399260,type1
393379,66908841,type1
393379,393380,type1
393379,967100965,type1
393379,368355544,type1
39338,39362,type1
393380,1004,type1
393381,393513,type1
393383,1004,type1
393383,383816,type1
393383,383804,type1
393385,393494,type1
393385,1004,type1
393387,788760849,type1
393389,394116,type1
393390,393421,type1
393390,383715,type1
393396,788760849,type1
393397,393490,type1
393400,396379,type1
393404,910399260,type2
393404,1004,type2
393404,393470,type2
393404,393480,type2
393404,880538993,type2
393405,66908841,type2
393408,215721934,type2
393420,66908841,type2
393421,66908841,type2
393421,458593872,type2
393421,587811162,type2
393421,393390,type2
393421,196750886,type2
393424,66908841,type2
393424,166695363,type2
393425,66908841,type2
393426,393517,type2
393427,66908841,type2
393427,436403,type2
393427,396393,type2
393434,910399260,type2
393434,393467,type2
393436,932949218,type2
393436,910399260,type2
393438,688514720,type2
393441,788760849,type2
393441,932949218,type2
393446,1004,type2
39345,39290,type1
393450,1004,type1
393459,393475,type1
393459,1004,type1
393459,788760849,type1
393459,396395,type1
393467,393434,type1
393469,167636,type2
393469,1004,type2
393469,393494,type2
393469,167966,type2
393469,393492,type2
393469,383620,type2
393469,383628,type2
393469,383636,type2
393469,383661,type2
393469,383668,type2
393469,383681,type2
393469,383682,type1
393469,383686,type1
393469,383708,type1
393469,383718,type1
393469,383721,type1
393469,383723,type1
393469,383738,type1
393469,383777,type1
393469,383790,type1
393469,383793,type1
393469,383802,type1
393469,383562,type1
393469,383543,type1
393469,383635,type1
393469,383568,type1
393469,383580,type1
393469,383602,type1
393470,393494,type1
393470,910399260,type1
393470,393404,type1
393470,393480,type1
393473,932949218,type1
393475,1004,type1
393475,393459,type1
393480,910399260,type1
393480,393470,type1
393480,393404,type1
393480,122702818,type1
393480,344182764,type1
393480,344182765,type1
393480,529754545,type1
393480,73180225,type1
393480,51062012,type1
393480,394116,type1
393480,861709371,type1
393482,393513,type2
393483,1004,type2
393483,393510,type2
393483,393495,type2
393484,393368,type2
39349,39362,type2
393490,1004,type2
393490,394868,type2
393490,393397,type2
393492,393469,type2
393493,393494,type2
393494,1004,type2
393494,393493,type2
393494,393498,type2
393494,910399260,type1
393494,393385,type1
393494,393469,type1
393494,393470,type1
393495,393483,type1
393496,393503,type1
393498,1004,type1
393498,393494,type1
393498,910399260,type1
39350,746710,type1
39350,39423,type1
393503,393496,type1
393510,393483,type1
393513,393482,type1
393513,393381,type1
393513,788760849,type1
393516,66908841,type1
393517,393426,type1
393517,413201,type1
39352,50118,type1
39352,39290,type1
39352,60022,type1
39352,39305,type1
39352,39308,type1
39352,39315,type1
39352,50592,type1
39352,59718,type1
39352,39362,type1
39352,50178,type1
39352,59851,type1
39352,29713,type2
39352,49903,type2
39352,59733,type2
39361,39399,type2
39362,39352,type2
39362,39349,type2
39376,39290,type2
39379,458819047,type2
39399,39361,type2
39404,39272,type2
39409,39290,type2
39410,39308,type1
394113,393513,type1
394116,393480,type1
394116,393389,type1
39423,39350,type1
682305779,472014,type1
755162813,658378,type1
755162814,570711,type1
755162815,570711,type1
584889481,570531,type1
813654446,579885,type1
26249986,472014,type1
93478894,472014,type1
93478895,472014,type1
508356079,579500116,type1
508356079,805634,type1
800131926,91357,type1
229277207,423025,type1
550787,550944,type1
550798,550693,type1
550799,550696,type1
550803,550696,type1
550809,550497,type1
550812,177302800,type1
550812,837,type1
550812,550759,type1
550812,877549424,type1
550812,117689032,type1
550812,550459,type1
550812,2604669,type1
550812,923431995,type1
550812,146849991,type1
550812,30893806,type1
550816,550696,type1
550818,550592,type1
550819,550497,type1
550820,550497,type1
550822,837,type1
550823,735295266,type1
550823,837,type1
550823,550406,type1
550823,177302800,type1
550825,550696,type1
550826,837,type1
550826,550683,type1
550826,550506,type1
550827,550829,type1
550828,550492,type1
550829,550827,type1
550833,550406,type1
550833,177302800,type1
550835,550696,type1
550837,550696,type1
550841,550567,type1
550845,550846,type1
550846,560221,type1
550846,550845,type1
550848,550944,type1
550851,550696,type1
550856,550944,type1
550864,550543,type1
550866,553426,type1
550867,552679,type1
550867,552678,type1
550867,177302800,type1
550867,351685830,type1
550867,66376536,type1
550871,550944,type1
550871,501434,type1
550871,550883,type1
550871,550930,type1
550875,550696,type1
550877,550944,type1
550877,550871,type1
550883,550871,type1
550885,550696,type1
550886,550696,type1
550890,550944,type1
550891,550696,type1
550892,550565,type1
550892,550944,type2
550893,837,type2
550893,550771,type2
550893,20487631,type2
550898,837,type2
550898,599665,type2
550902,550696,type2
550905,550696,type2
550908,550406,type2
550908,177302800,type2
550908,81528331,type2
550911,550912,type2
550912,560221,type2
550912,550911,type2
550913,735295266,type2
550913,550597,type2
550913,837,type2
550913,177302800,type2
550913,319662579,type2
550915,550497,type2
550923,550497,type2
550924,837,type2
550924,552679,type2
550924,177302800,type2
550924,554280,type2
550929,550930,type2
550930,550871,type2
550930,550929,type2
550942,550944,type2
550943,550696,type2
550944,837,type2
550944,550398,type2
550944,550401,type2
550944,550434,type2
550944,550486,type2
550944,550890,type2
550944,550595,type2
550944,501334,type2
550944,550942,type2
550944,501481,type1
550944,550500,type1
550944,550871,type1
550944,554258,type1
550944,550609,type1
550944,897256486,type1
550944,550892,type1
550944,550856,type1
550944,501570,type1
550944,550547,type1
550944,550546,type1
550944,550661,type1
550944,550463,type1
550944,550877,type1
550944,210709924,type1
550944,550772,type1
550944,550848,type1
550944,550544,type1
550944,550658,type1
550944,550787,type1
550944,501359,type3
550944,550565,type3
550944,501364,type3
550944,269449175,type3
550944,550594,type3
550944,550433,type3
550944,501393,type3
550944,550633,type3
550944,550678,type3
550944,550685,type3
551154,550595,type3
551156,290080326,type3
551781152,776172,type3
551910,550575,type3
552678,550585,type3
552678,550867,type3
552679,550867,type3
552679,550924,type3
553423,550665,type3
553426,550866,type3
554178,550406,type3
554190,864488325,type3
554190,351685829,type3
554191,550920,type3
554250,177302800,type3
554258,550944,type3
554280,177302800,type3
554280,550924,type3
554294,550497,type3
554307,550870,type3
554310,550592,type3
554310,177302800,type3
554343,550696,type3
560221,579888,type3
560221,1043,type3
560221,589761,type3
560221,589892,type3
560221,491682,type3
560221,589797,type3
560221,550492,type3
560221,589800,type3
560221,550497,type3
560221,501629,type3
560221,589806,type3
560221,837,type3
560221,550575,type3
560221,579931,type3
560221,550611,type3
560221,599868,type3
560221,550691,type3
560221,589841,type3
560221,550696,type3
560221,589846,type3
560221,570495,type3
560221,599944,type3
560221,589868,type3
560221,599588,type3
560221,599656,type3
560221,808255902,type3
560221,599667,type3
560221,599668,type3
560221,550846,type3
560221,590002,type3
560221,501365,type3
560221,599951,type3
560221,599952,type3
560221,599673,type3
560221,550912,type3
560221,589952,type3
560221,570654,type3
560221,589958,type3
560221,589961,type3
560221,599967,type3
560221,599726,type3
560221,570475,type1
560221,560230,type1
560221,560353,type2
560221,540929,type2
560221,599755,type2
560221,501434,type2
560221,590012,type2
560221,599761,type2
560221,590031,type2
560221,570103,type2
560221,550730,type2
560221,448145857,type2
560221,590067,type2
560221,599822,type2
560221,590074,type2
560221,599830,type2
560221,599764,type2
560221,570227,type2
560221,981509,type2
560221,599880,type2
560221,570293,type2
560221,570299,type2
560221,599896,type2
560221,599792,type2
560221,589693,type2
560221,599477,type2
560221,599887,type2
560221,589741,type2
560221,589742,type2
560221,272860363,type2
560230,560221,type2
560230,560670,type2
560353,560221,type2
560353,599484,type2
560353,286572422,type2
560353,599498,type1
560353,589797,type1
560353,570403,type1
560353,599979,type1
560353,590044,type1
560353,599588,type1
560353,589868,type1
560353,599645,type1
560353,286572421,type1
