from,timePeriodsKeys
148069,"hellenistic-republican,roman,late-antique,modern,twenty-first-ce"
148069,"hellenistic-republican,roman,late-antique,modern,twenty-first-ce"
148069,"hellenistic-republican,roman,late-antique,modern,twenty-first-ce"
148076,"roman,modern"
148081,"hellenistic-republican,roman,late-antique,modern"
148089,modern
148089,modern
148089,modern
148089,modern
148092,"classical,hellenistic-republican,roman,late-antique,modern"
148093,"hellenistic-republican,roman,late-antique"
148093,"hellenistic-republican,roman,late-antique"
148093,"hellenistic-republican,roman,late-antique"
148107,"classical,hellenistic-republican,roman,late-antique,modern"
148107,"classical,hellenistic-republican,roman,late-antique,modern"
148107,"classical,hellenistic-republican,roman,late-antique,modern"
148110,"classical,late-antique,modern"
148110,"classical,late-antique,modern"
148110,"classical,late-antique,modern"
148120,"hellenistic-republican,roman,late-antique"
148134,roman
148142,"classical,hellenistic-republican,roman,late-antique,modern"
148142,"classical,hellenistic-republican,roman,late-antique,modern"
148142,"classical,hellenistic-republican,roman,late-antique,modern"
148142,"classical,hellenistic-republican,roman,late-antique,modern"
148142,"classical,hellenistic-republican,roman,late-antique,modern"
148142,"classical,hellenistic-republican,roman,late-antique,modern"
148142,"classical,hellenistic-republican,roman,late-antique,modern"
148142,"classical,hellenistic-republican,roman,late-antique,modern"
148142,"classical,hellenistic-republican,roman,late-antique,modern"
148167,"classical,hellenistic-republican,roman,modern"
148168,"classical,hellenistic-republican,roman,late-antique,modern"
148168,"classical,hellenistic-republican,roman,late-antique,modern"
148168,"classical,hellenistic-republican,roman,late-antique,modern"
148168,"classical,hellenistic-republican,roman,late-antique,modern"
148168,"classical,hellenistic-republican,roman,late-antique,modern"
148168,"classical,hellenistic-republican,roman,late-antique,modern"
148168,"classical,hellenistic-republican,roman,late-antique,modern"
148168,"classical,hellenistic-republican,roman,late-antique,modern"
148168,"classical,hellenistic-republican,roman,late-antique,modern"
148168,"classical,hellenistic-republican,roman,late-antique,modern"
148168,"classical,hellenistic-republican,roman,late-antique,modern"
148168,"classical,hellenistic-republican,roman,late-antique,modern"
148168,"classical,hellenistic-republican,roman,late-antique,modern"
148168,"classical,hellenistic-republican,roman,late-antique,modern"
148168,"classical,hellenistic-republican,roman,late-antique,modern"
148168,"classical,hellenistic-republican,roman,late-antique,modern"
148202,"archaic,classical,hellenistic-republican,roman,late-antique,mediaeval-byzantine"
148202,"archaic,classical,hellenistic-republican,roman,late-antique,mediaeval-byzantine"
148209,roman
148209,roman
148211,"classical,hellenistic-republican,roman,modern"
148211,"classical,hellenistic-republican,roman,modern"
148211,"classical,hellenistic-republican,roman,modern"
148217,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
148217,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
148217,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
148217,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
148217,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
148222,"roman,late-antique,modern"
148223,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
148223,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
148224,"roman,twenty-first-ce"
148236,"archaic,classical,hellenistic-republican"
148241,"hellenistic-republican,roman"
148242,"hellenistic-republican,roman"
148242,"hellenistic-republican,roman"
148242,"hellenistic-republican,roman"
148242,"hellenistic-republican,roman"
148242,"hellenistic-republican,roman"
148242,"hellenistic-republican,roman"
148244,"hellenistic-republican,roman"
148737,"roman,late-antique"
148738,"roman,late-antique"
148738,"roman,late-antique"
148738,"roman,late-antique"
148738,"roman,late-antique"
149492,roman
149492,roman
149496,"roman,late-antique,modern"
149496,"roman,late-antique,modern"
149496,"roman,late-antique,modern"
149499,roman
149500,roman
150247,roman
150248,hellenistic-republican
150249,roman
150250,roman
150251,roman
150252,roman
150252,roman
150252,roman
150254,roman
157800,"roman,late-antique"
157802,"classical,hellenistic-republican,roman,late-antique,mediaeval-byzantine,modern"
157802,"classical,hellenistic-republican,roman,late-antique,mediaeval-byzantine,modern"
157802,"classical,hellenistic-republican,roman,late-antique,mediaeval-byzantine,modern"
157802,"classical,hellenistic-republican,roman,late-antique,mediaeval-byzantine,modern"
157803,"roman,modern"
157803,"roman,modern"
157803,"roman,modern"
157803,"roman,modern"
157805,"roman,late-antique,modern"
157834,"hellenistic-republican,roman,late-antique,modern"
157836,"hellenistic-republican,roman,late-antique,modern"
157836,"hellenistic-republican,roman,late-antique,modern"
157836,"hellenistic-republican,roman,late-antique,modern"
157837,"roman,late-antique,mediaeval-byzantine"
157837,"roman,late-antique,mediaeval-byzantine"
157837,"roman,late-antique,mediaeval-byzantine"
157857,hellenistic-republican
157858,"hellenistic-republican,modern"
157858,"hellenistic-republican,modern"
157861,"roman,late-antique"
157870,"hellenistic-republican,roman"
157871,"hellenistic-republican,roman"
157874,"hellenistic-republican,roman"
157878,"roman,modern"
157878,"roman,modern"
157878,"roman,modern"
157878,"roman,modern"
157878,"roman,modern"
157878,"roman,modern"
157878,"roman,modern"
157879,"roman,late-antique"
157906,"hellenistic-republican,roman,late-antique"
157907,"hellenistic-republican,roman,late-antique"
157912,"hellenistic-republican,roman"
138724250,neo-assyrian-babylonian-middle-east
138724250,neo-assyrian-babylonian-middle-east
41488940,neo-assyrian-babylonian-middle-east
41488940,neo-assyrian-babylonian-middle-east
41488940,neo-assyrian-babylonian-middle-east
41488940,neo-assyrian-babylonian-middle-east
41488940,neo-assyrian-babylonian-middle-east
713204842,late-antique
713204842,late-antique
711765706,hellenistic-republican
680190213,roman
254082752,hellenistic-republican
751079112,"neolithic-eastern-med,modern"
559027219,modern
115852119,"new-kingdom-egypt,late-byzantine,modern"
133577441,"hellenistic-republican,roman,late-antique"
912798,"classical,hellenistic-republican,roman"
912798,"classical,hellenistic-republican,roman"
912803,late-antique
912810,modern
912816,"later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,achaemenid-middle-east,hellenistic-republican,roman,late-antique"
912816,"later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,achaemenid-middle-east,hellenistic-republican,roman,late-antique"
912835,modern
912835,modern
912837,"archaic,neo-assyrian-babylonian-middle-east,classical,achaemenid-middle-east"
