id,title,size,linkType
508356079,Jebel Barkal,3,type1
800131926,Inveravon,2,type1
229277207,Civitas Leonina,2,type1
550787,Ophryneion,2,type1
550798,Palaio Pretorio,2,type1
550799,Palaiokhori,2,type1
550803,Parakoila,2,type1
550809,Pelinnaion M.,2,type1
550812,Pergamum,12,type2
550816,Petra,2,type1
550818,Phalakrai,2,type1
550819,Phanai,2,type1
550820,Phanai Pr.,2,type1
550822,Philadelpheia,2,type1
550823,Phocaea,5,type1
550825,Phonias,2,type1
550826,Phrikonis,4,type1
550827,Phrygios (river),2,type1
550828,Phyrites (river),2,type1
550829,Pidasos (river),2,type1
550833,Pitane,3,type1
550835,Plagia,2,type1
550837,Platy Bounari,2,type1
550839,Polichne,2,type1
550841,Por(d)oselene/Nasos,2,type1
550845,Psyra,2,type1
550846,Psyra (island),3,type1
550848,Pteleos L.,2,type1
550851,Pyrra,2,type1
550856,Rhoiteion,2,type1
550864,Sandalium? (island),2,type1
550866,Sardianon Pedion,2,type1
550867, Sardis/Hyde?,6,type1
550870,Satnioeis (river),2,type1
550871,Scamander (river),7,type1
550875,Selles,2,type1
550877,Sigeion,2,type1
550883,Simoeis (river),2,type1
550885,Skala Polykhnitou,2,type1
550886,Skala ton Loutron,2,type1
550890,Skepsis,2,type1
550891,Skoteino,2,type1
550892,Smintheion,3,type1
550893,Smyrna/Eurydikeia,4,type1
550898,Stratonicaea/Hadrianopolis,2,type1
550902,Tantalos M.,2,type1
550905,Tarti,2,type1
550908,Temnos,4,type1
550911,Tenedos,2,type1
550912,Tenedos (island),3,type1
550913,Teos,6,type1
550915,Tes Kores to Gephyri,2,type1
550920,Thebes Pedion,2,type1
550923,Thymiana,2,type1
550924,Thyateira,5,type1
550929,Thymbras Pedion,2,type1
550930,Thymbrios (river),3,type1
550942,Traron,2,type1
550943,Trianta,2,type1
550944,Troas (region),40,type2
551154,Untitled,2,type1
551156,Roman Aqueduct at Mytilene,2,type1
551781152,Ain el-Sabil,2,type1
551910,Unnamed bridge,2,type1
552678,Untitled,3,type1
552679,Sardis-Thyateira Road,3,type1
553423,Untitled,2,type1
553426,Untitled,2,type1
554178,Aigiroessa,2,type1
554190,Apolloniacharax,3,type1
554191,Ardynion,1,type1
554250,Karseai/Karseis/Kerasai/Kerateis,2,type1
554258,Kleandria,2,type1
554280,Mernouphyta,2,type1
554294,Oios ho Hermaites,2,type1
554307,Pedasos,1,type1
554310,Philetaireia,3,type1
554343,"Zeus Hyperdexios, T.",2,type1
560221,Aegaeum Mare,75,type3
560230,Aigila/Ogylos (island),3,type1
560353,Cyclades Islands,34,type2
560670,Palaiokastro,2,type1
570028,Achaea/Achaia (region),7,type1
570033,Ag. Eirene,2,type1
570035,Ag. Helene,2,type1
570036,Ag. Ioannes,2,type1
570038,Ag. Kyriake,2,type1
570040,Aigai,2,type1
570043,Aigeira,2,type1
570049,Aigion,2,type1
570059,Akrokorinthos,2,type1
570065,Alipheira,2,type1
570067,Alphe(i)os (river),3,type1
570074,Amyklai,3,type1
